Year,Month,gear_type,GEAR_NME,COMMON_NME,Weight(LBS),Weight(kg),Value($)
2009,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,2695069,1222475.28,606390.72
2009,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,5450,2472.11,9156
2009,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,2832966.42,1285025.17,2210547.66
2010,6,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,101700,46130.8,127125
2010,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,197255,89474.26,46355.03
2010,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,621921,282101.53,777401.25
2010,8,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,376,170.56,730.2
2010,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,36706,16649.69,29364.8
2010,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,998,452.7,898.2
2010,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,1811003,821465.62,425586.42
2010,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,14987818.46,6798429.79,18735072.61
2010,9,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,130,58.96,264.7
2010,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,160792,72934.74,128633.6
2010,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,2539,1151.67,2285.1
2010,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,290930.84,131965.39,68460.06
2010,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,10597883,4807168.24,13247353.76
2010,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,317460,143998.93,253968
2011,6,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,78101,35426.38,137457.76
2011,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,12381,5615.98,10523.85
2011,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,1908785,865819.24,839865.4
2011,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,1062455,481926.44,1869920.8
2011,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,44307,20097.59,37660.95
2011,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,109406,49626.2,109406
2011,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,5420275,2458620.61,2384921
2011,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,595884,270291.21,1048755.84
2011,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,2140685,971008.33,1819582.25
2011,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,11534,5231.75,11534
2011,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,11352862.96,5149624.93,4996969.67
2011,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,149415,67774.2,262970.4
2011,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,4072153.18,1847116.61,3461239.64
2011,10,seine,"SEINE, PURSE, SALMON",PINK SALMON,2355,1068.22,1036.2
2011,11,seine,"SEINE, PURSE, SALMON",CHUM SALMON,2494845,1131654.24,2120618.25
2012,6,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,80471.96,36501.85,154499.38
2012,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,293733,133236.41,161590.61
2012,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,140098,63547.98,49802.32
2012,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,836926.6,379627.41,1471246.75
2012,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,364244,165219.98,196835.47
2012,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,1955371,886950.5,714521.53
2012,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,56617,25681.31,94452.81
2012,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,803133,364298.74,427517.5
2012,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,2660,1206.57,3990
